"x","y","topic","rating","review"
6.06354427337646,2.65011048316956,"Airline Baggage Fees",1,"They made me pay 85 euros extra for my 10kg luggage even tho it was under 10kg and because it was 1cm bigger than the guidelines they have 
Normally there are some rules that they have to follow for the pricing of the bag but they just say that I have to pay 85 euros to get in the airplane.
Shame"
4.92737054824829,2.01638293266296,"Airline Ticket Fees",1,"I was very happy with the prize of the ticket and then they made me pay 100 more euros to check in in the airport (because I had some luggage that I needed to check in). After that my bag didn't fit the shoe box that they have a a measure box for backpacks. So I needed to pay 66 more euros for that.

It's not only the most expensive airline that I've used, but their attitude needs to be recorded and posted online.

I will never use this airline ever again.

Best Regards,
David Borruel"
4.68815183639526,-0.891510844230652,"Airline Cabin Conditions",1,"Flight was late departed. No feedback from ground crew. Flight arrived late. Baggage came over an hour later. Smells.... like I was inside someone's old socks..."
7.77611923217773,0.670360445976257,"Ryanair Seat Booking",1,"Had a horrible experience flying with Ryanair on the 20/12/24. Firstly the flight was overbooked however staff at the gate informed it was a ‘change of aircraft’ which I believe is untrue as 99% of the planes are identical, they claimed I was being bumped off the flight as I was one of the last checking in which is hard to believe as I checked in 24 hours in advance, then after everyone boarded they let myself and 2 others go through with unallocated seats and they tried to separate the mother and her 17 year old daughter by only letting one board and claiming she was not a minor, absolutely disgraceful and rude behaviour from staff, when I was finally given a seat when I got to the plane it was occupied and had to wait again for the crew to find me a seat. 6 people were denied boarding which was quite dramatic to see as we all paid a fortune to fly no frills this close to Christmas. Never again and advise everyone to be really carefull when booking with this airline as they simply don’t care!"
10.2901983261108,-0.0227440595626831,"Flight Booking Issues",2,"The staff was nice and helpfull and the price is ok.  So for just travel its okey

But my problem is the complicated routes, its cheeper to go swe-marakesh- malaga then direct malaga?

And also their luggets policy is F up, need to pay 30$ for every flight i atend, so no direct flag, extra bag 2x30$"
5.84308815002441,1.92689776420593,"Airline Baggage Fees",1,"Stay away! Super greedy airline! They will choose people randomly in the gate and if they think your luggage looks big they will charge you or don't let the take the flight. seems like they are doing this on return flights to foreign visitors."
5.98819541931152,2.46587920188904,"Airline Baggage Fees",1,"Terrible customer service. They sell too many Priority tickets, then charge people €75 for bags that are just 1 cm over the size limit and refuse to let them on board. Once on the plane, we saw much larger bags than ours. No consideration for customers."
5.57416677474976,2.33223986625671,"Airline Baggage Fees",1,"Terrible customer service. This is the only airline that asked me to pay €75 at the gate for my priority cabin bag and then wouldn't let me take it on board. The bag was just 1 cm over their size limit, even though it was 1 kg lighter than the standard weight allowance. Very disappointing. For the same price, I'd choose Aer Lingus instead."
8.86607074737549,1.54151093959808,"Ryanair Baggage Policy",1,"AVOID Ryanair AT ALL COSTS! My recent experience with them was horrific. Their service is subpar, and their language policy is discriminatory. Traveling from Berlin to London with ONLY a 5kg handbag, I was slammed with a 60-euro fee! When I questioned the absurd charge, the staff rudely told me to either pay up or stay behind in the airport. Unbelievable! As an international student, I had saved up for this trip, and being forced to pay such an exorbitant fee was devastating. It really hurt me to see my hard-earned money being taken away like that. To add insult to injury, I had to squeeze my luggage under the seat in front of me, making the entire flight incredibly uncomfortable. This was supposed to be a simple, exciting trip, but Ryanair turned it into my WORST flight experience. Don't trust this airline with your hard-earned money. Look elsewhere for a hassle-free travel experience!"
8.30709075927734,2.18353581428528,"Ryanair Baggage Policy",1,"Ryanair is an absolute disgrace. I was extorted for £60 for so-called """"extra baggage"""" despite paying for priority boarding and not even bringing a carry-on bag. My cabin bag was a mere 1.5 cm over their deliberately undersized measuring device—a blatant scam designed to rip people off. Their staff were rude, unhelpful, and completely uninterested in resolving the issue, and customer service showed nothing but contempt and disrespect.

This airline is shamelessly exploitative, preying on passengers to squeeze every penny out of them. They don't care about providing a fair or even remotely decent experience. Avoid Ryanair at all costs—it’s a complete nightmare, and I’ll never fly with them again!"
8.93162822723389,-0.823756814002991,"Ryanair Flight Review",4,"When I read the reviews about Ryanair I thought Ryanair was bad, but… it was actually pretty good. Everything was fast and everything was good.I recommend Ryanair for people!"
9.03038501739502,-0.723634898662567,"Ryanair Flight Review",4,"We chose Ryanair as they were 1 of just 2 airlines flying to Poznan and were the cheapest. We have flown with them once before to Dublin and had no issues.
Our flight was changed once before our trip and I had to phone to change the return journey of our holiday but other than that, it was an easy, straight-forward flight with no issues and the leg room was surprisingly good!"
